abalone
Asym
breast_cancer
breast_cancer_wisconsin
car
chestSim500
energy1
energy2
FallEld
fertility
house_votes
indian_liver
iris
magic04
monks1
monks2
monks3
nursery
PhDArticles
Pokemon
post_operative
puffin
reinis
selfy
tae
tic_tac_toe
Titanic
eeg
credit_card
