"x"
"1"	"Asym"
"2"	"breast_cancer_wisconsin"
"3"	"chestSim500"
"4"	"energy1"
"5"	"energy2"
"6"	"FallEld"
"7"	"fertility"
"8"	"indian_liver"
"9"	"monks1"
"10"	"monks2"
"11"	"monks3"
"12"	"Pokemon"
"13"	"puffin"
"14"	"reinis"
"15"	"tic_tac_toe"
"16"	"Titanic"
